title,sort_option,imdb_id,category,listOrder
Academy Award for Best Costume Design,Release Date (Descending),tt0116209,Academy Awards,66
Academy Award for Best Costume Design,Release Date (Descending),tt0114272,Academy Awards,65
Academy Award for Best Costume Design,Release Date (Descending),tt0109045,Academy Awards,64
Academy Award for Best Costume Design,Release Date (Descending),tt0106226,Academy Awards,63
Academy Award for Best Costume Design,Release Date (Descending),tt0103874,Academy Awards,62
Academy Award for Best Costume Design,Release Date (Descending),tt0101516,Academy Awards,61
Academy Award for Best Costume Design,Release Date (Descending),tt0099334,Academy Awards,60
Academy Award for Best Costume Design,Release Date (Descending),tt0097499,Academy Awards,59
Academy Award for Best Costume Design,Release Date (Descending),tt0094947,Academy Awards,58
Academy Award for Best Costume Design,Release Date (Descending),tt0093389,Academy Awards,57
Academy Award for Best Costume Design,Release Date (Descending),tt0091867,Academy Awards,56
Academy Award for Best Costume Design,Release Date (Descending),tt0089881,Academy Awards,55
Academy Award for Best Costume Design,Release Date (Descending),tt0086879,Academy Awards,54
Academy Award for Best Costume Design,Release Date (Descending),tt0083922,Academy Awards,53
Academy Award for Best Costume Design,Release Date (Descending),tt0083987,Academy Awards,52
Academy Award for Best Costume Design,Release Date (Descending),tt0082158,Academy Awards,51
Academy Award for Best Costume Design,Release Date (Descending),tt0080009,Academy Awards,50
Academy Award for Best Costume Design,Release Date (Descending),tt0078754,Academy Awards,49
Academy Award for Best Costume Design,Release Date (Descending),tt0077413,Academy Awards,48
Academy Award for Best Costume Design,Release Date (Descending),tt0076759,Academy Awards,47
Academy Award for Best Costume Design,Release Date (Descending),tt0074291,Academy Awards,46
Academy Award for Best Costume Design,Release Date (Descending),tt0072684,Academy Awards,45
Academy Award for Best Costume Design,Release Date (Descending),tt0071577,Academy Awards,44
Academy Award for Best Costume Design,Release Date (Descending),tt0070735,Academy Awards,43
Academy Award for Best Costume Design,Release Date (Descending),tt0069404,Academy Awards,42
Academy Award for Best Costume Design,Release Date (Descending),tt0067483,Academy Awards,41
Academy Award for Best Costume Design,Release Date (Descending),tt0065593,Academy Awards,40
Academy Award for Best Costume Design,Release Date (Descending),tt0064030,Academy Awards,39
