title,sort_option,imdb_id,category
Academy Award for Best Original Screenplay,Release Date (Descending),tt0055913,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0055471,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0053172,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0051525,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0050306,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0048210,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0047296,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0046435,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0044829,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0043278,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0043014,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0041163,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0040897,Academy Awards
